"oid","name","code","price","sale-price","orderable","ship-weight","taxable"
"liwecobje","Liretta Wedding  Collection - <br> Jember","LIJEMBER","975.00 ",,"Yes",,"Yes"
"liwecobka","Liretta Wedding  Collection - <br> Kalossi","LIKALOSSI","1245.00 ",,"Yes",,"Yes"
"liwecobko","Liretta Wedding  Collection - <br> Kona","LIKONA","885.00 ",,"Yes",,"Yes"
"liwecobli","Liretta Wedding  Collection - <br> Liberica","LILIBERICA","1290.00 ",,"Yes",,"Yes"
"liwecobli1","Liretta Wedding  Collection - <br> Lintong","LILINTONG","1245.00 ",,"Yes",,"Yes"
"liwecoblu","Liretta Wedding  Collection - <br> Lungo","LILUNGO","1410.00 ",,"Yes",,"Yes"
"liwecobma","Liretta Wedding  Collection - <br> Marble","LIMARBLE","975.00 ",,"Yes",,"Yes"
"liwecobma1","Liretta Wedding  Collection - <br> Marine","LIMARINE","975.00 ",,"Yes",,"Yes"
"liwecobma2","Liretta Wedding  Collection - <br> Marnis","LIMARNIS","360.00 ",,"Yes",,"Yes"
"liwecobma3","Liretta Wedding  Collection - <br> Marmara","LIMARMARA","1050.00 ",,"Yes",,"Yes"
"liwecobma4","Liretta Wedding  Collection - <br> Mardin","LIMARDIN","870.00 ",,"Yes",,"Yes"
"liwecobme","Liretta Wedding  Collection - <br> Mermaid","LIMERMAID","855.00 ",,"Yes",,"Yes"
"liwecobme1","Liretta Wedding  Collection - <br> Mercy","LIMERCY","345.00 ",,"Yes",,"Yes"
"liwecobmi","Liretta Wedding  Collection - <br> Mirage","LIMIRAGE","660.00 ",,"Yes",,"Yes"
"liwecobmi1","Liretta Wedding  Collection - <br> Milas","LIMILAS","555.00 ",,"Yes",,"Yes"
"liwecobmo","Liretta Wedding  Collection - <br> Mocca","LIMOCCA","1245.00 ",,"Yes",,"Yes"
"liwecobmu","Liretta Wedding  Collection - <br> Mussel","LIMUSSEL","1035.00 ",,"Yes",,"Yes"
"liwecobna","Liretta Wedding  Collection - <br> Nautilus","LINAUTILUS","495.00 ",,"Yes",,"Yes"
"liwecobna1","Liretta Wedding  Collection - <br> Nacre","LINACRE","855.00 ",,"Yes",,"Yes"
"liwecobpe","Liretta Wedding  Collection - <br> Pear","LIPEARL","1035.00 ",,"Yes",,"Yes"
"liwecobri","Liretta Wedding  Collection - <br> Riptide","LIRIPTIDE","1305.00 ",,"Yes",,"Yes"
"liwecobse","Liretta Wedding  Collection - <br> Serena","LISERENA","925.00 ",,"Yes",,"Yes"
"liwecobse1","Liretta Wedding  Collection - <br> Seashore","LISEASHORE","1170.00 ",,"Yes",,"Yes"
"liwecobse2","Liretta Wedding  Collection - <br> Seashell","LISEASHELL","765.00 ",,"Yes",,"Yes"
"liwecobsk","Liretta Wedding  Collection - <br> Skyline","LISKYLINE","840.00 ",,"Yes",,"Yes"
"liwecobst","Liretta Wedding  Collection - <br> Stream","LISTREAM","605.00 ",,"Yes",,"Yes"
"liwecobsu","Liretta Wedding  Collection - <br> Sunrise","LISUNRISE","975.00 ",,"Yes",,"Yes"
"liwecobsu1","Liretta Wedding  Collection - <br> Sumatra","LISUMATRA","1515.00 ",,"Yes",,"Yes"
"liwecobwa","Liretta Wedding  Collection - <br> Waves","LIWAVES","975.00 ",,"Yes",,"Yes"
"liwecobwi","Liretta Wedding  Collection - <br> Windstorm","LIWINDSTORM","1080.00 ",,"Yes",,"Yes"
"mabrdrstm4","Maternity Bridesmaid Dress Style M441","M441","257.00 ","218.00 ","Yes",,"Yes"
"mabrdrstm41","Maternity Bridesmaid Dress <br>Style M442","M442","244.00 ","207.00 ","Yes",,"Yes"
"mabrdrstm42","Maternity Bridesmaid Dress <br>Style M443","M443","244.00 ","207.00 ","Yes",,"Yes"
"masosasa","ONLINE SAMPLE SALE!!!","NULL",,,"No",,"Yes"
"masove","Maggie Sottero Veils","NULL",,,"No",,"Yes"
"masoveb","Maggie Sottero Veil- <br>Rooney","newitem537061790","1136.00 ",,"Yes",,"Yes"
"masoveban","Maggie Sottero Veil- <br> Annisa","newitem536629641","92.00 ",,"Yes",,"Yes"
"masovebba","Maggie Sottero Veil- <br> Bayler","newitem536630026","198.00 ",,"Yes",,"Yes"
"masovebbr","Maggie Sottero Veil- <br> Brock","newitem537061390","1210.00 ",,"Yes",,"Yes"
"masovebch","Maggie Sottero Veil- <br> Charlene","newitem536630517","238.00 ",,"Yes",,"Yes"
"masovebch1","Maggie Sottero Veil- <br> Charmaine","newitem536630616","396.00 ",,"Yes",,"Yes"
"masovebch2","Maggie Sottero Veil- <br> Cherise","newitem536630779","284.00 ",,"Yes",,"Yes"
"masovebco","Maggie Sottero Veil- <br> Coretta","newitem536630918","942.00 ",,"Yes",,"Yes"
"masovebdo","Maggie Sottero Veil- <br> Dover","newitem536631359","258.00 ",,"Yes",,"Yes"
"masovebel","Maggie Sottero Veil- <br> Eldridge","newitem536631691","196.00 ",,"Yes",,"Yes"
"masovebem","Maggie Sottero Veil- <br> Emiliano","newitem536637920","504.00 ",,"Yes",,"Yes"
"masovebes","Maggie Sottero Veil- <br> Esther","newitem536638043","238.00 ",,"Yes",,"Yes"
"masovebfa","Maggie Sottero Veil- <br> Faye","newitem537061926","580.00 ",,"Yes",,"Yes"
"masovebgi","Maggie Sottero Veil- <br> Gideon","newitem536638233","844.00 ",,"Yes",,"Yes"
"masovebha","Maggie Sottero Veil- <br> Halle","newitem536638284","658.00 ",,"Yes",,"Yes"
"masovebir","Maggie Sottero Veil- <br> Irene","newitem537062026","358.00 ",,"Yes",,"Yes"
"masovebjo","Maggie Sottero Veil- <br> Jocelyn","newitem536638431","298.00 ",,"Yes",,"Yes"
"masovebjo1","Maggie Sottero Veil- <br> Johanna","newitem536708165","158.00 ",,"Yes",,"Yes"
"masovebjo2","Maggie Sottero Veil- <br> Josephine","newitem536708478","578.00 ",,"Yes",,"Yes"
"masovebke","Maggie Sottero Veil- <br> Kevyn","newitem537061564","478.00 ",,"Yes",,"Yes"
"masovebla","Maggie Sottero Veil- <br> Lavinia","newitem536713183","438.00 ",,"Yes",,"Yes"
"masoveble","Maggie Sottero Veil- <br> Lavinia","newitem536709063","658.00 ",,"Yes",,"Yes"
"masovebmi","Maggie Sottero Veil- <br> Milena","newitem536713372","1116.00 ",,"Yes",,"Yes"
"masovebor","Maggie Sottero Veil- <br> Orlanda","newitem536713556","758.00 ",,"Yes",,"Yes"
"masovebpi","Maggie Sottero Veil- <br> Pierce","newitem537061676","238.00 ",,"Yes",,"Yes"
"masovebra","Maggie Sottero Veil- <br> Rabia","newitem536714981","598.00 ",,"Yes",,"Yes"
"masovebro","Maggie Sottero Veil- <br> Rosemary","newitem537062154","318.00 ",,"Yes",,"Yes"
"masovebro1","Maggie Sottero Veil- <br> Rosemary","newitem537062454","478.00 ",,"Yes",,"Yes"
"masovebru","Maggie Sottero Veil- <br> Rubena","newitem537062606","278.00 ",,"Yes",,"Yes"
"masovebsa","Maggie Sottero Veil- <br> Sabina","newitem536715182","858.00 ",,"Yes",,"Yes"
"masovebta","Maggie Sottero Veil- <br> Taylor","newitem536715383","398.00 ",,"Yes",,"Yes"
"masovebti","Maggie Sottero Veil- <br> Tiffany","newitem536715513","388.00 ",,"Yes",,"Yes"
"masovebti1","Maggie Sottero Veil- <br> Tina","newitem537062700","258.00 ",,"Yes",,"Yes"
"masovebtr","Maggie Sottero Veil- <br> Tristyn","newitem1537060302","598.00 ",,"Yes",,"Yes"
"masovebtu","Maggie Sottero Veil- <br> Tuscany ","newitem537060765","374.00 ",,"Yes",,"Yes"
"masovebtuma","Maggie Sottero Veil- <br> Tuscany Marie","newitem537060888","136.00 ",,"Yes",,"Yes"
"masovebturo","Maggie Sottero Veil- <br> Tuscany Royal","newitem1537061101","396.00 ",,"Yes",,"Yes"
"masovebwa","Maggie Sottero Veil- <br> Waverly","newitem1537061264","396.00 ",,"Yes",,"Yes"
"masowedrab","Maggie Sottero Wedding Dress -  <br>ABERDEEN","MSABERDEEN","1425.00 ",,"Yes",,"Yes"
"masowedrab1","Maggie Sottero Wedding Dress ","MS8MC739","1834.00 ",,"Yes",,"Yes"
"masowedrably","Maggie Sottero Wedding Dress ","MS8MC739AC","1894.00 ",,"Yes",,"Yes"
"masowedrai","Maggie Sottero Wedding Dress -  <br>AIDAN","MS9MW858","1834.00 ",,"Yes",,"Yes"
"masowedral2","Maggie Sottero Wedding Dress ","MS8MC734","1555.00 ",,"Yes",,"Yes"
"masowedral3","Maggie Sottero Wedding Dress -  <br>ALISTAIRE","MS9MS023","1754.00 ",,"Yes",,"Yes"
"masowedral4","Maggie Sottero Wedding Dress -  <br>ALTHEA","MSALTHEA","1825.00 ",,"Yes",,"Yes"
"masowedrally","Maggie Sottero Wedding Dress -  <br>ALISTAIRE LYNETTE","MS9MS023AC","1814.00 ",,"Yes",,"Yes"
"masowedran3","Maggie Sottero Wedding Dress -  <br>ANASTASIA","MS9MC012","1784.00 ",,"Yes",,"Yes"
"masowedran5","Maggie Sottero Wedding Dress -   <br>ANTONIA","MS9MW021","1834.00 ",,"Yes",,"Yes"
"masowedranle","Maggie Sottero Wedding Dress -  <br>ANTONIA LEIGH","newitem490486263","1785.00 ",,"Yes",,"Yes"
"masowedras","Maggie Sottero Wedding Dress ","MS7MS410","1225.00 ",,"Yes",,"Yes"
"masowedrau","Maggie Sottero Wedding Dress ","8MS562","1825.00 ",,"Yes",,"Yes"
"masowedrb","Maggie Sottero Wedding Dress -  <br>Azarliah","MSAzarliah","1349.00 ",,"Yes",,"Yes"
